54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
