54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
