486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
