62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
