6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
