51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
