5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
